MTR-SN,Coeff-A,Coeff-B,Coeff-C,Calibration Date,comments,Cal. Residual,comments,,
4087,1.0683024856E-03,5.3961207848E-04,2.0946429933E-06,2003-01-12,,0.0015,,,
4088,1.4785085680E-03,4.0415950363E-04,4.3632210101E-06,2006-07-10,TB106191,0.0016,bad cal - maybe batt too low - batt draw was approx twice as much as others - ,,
4088,1.0905689403E-03,5.3473467776E-04,2.1718535738E-06,2004-01-29,TB104030,0.0010,,,
4088,1.0946780625E-03,5.3344230389E-04,2.1913411271E-06,2003-03-25,TB103084,0.0011,,,
4089,1.0620535145E-03,5.4446349442E-04,2.0347961889E-06,2013-04-17,TB113107,-0.0014,,,
4089,1.1167391365E-03,5.2580290385E-04,2.3590060134E-06,2010-02-03,TB110034,0.0013,,,
4089,1.0967679899E-03,5.3269522547E-04,2.2373951608E-06,2006-07-10,TB106191,0.0016,,,
4089,1.0923960420E-03,5.3421461694E-04,2.2100002491E-06,2004-11-08,TB104313,0.0014,,,
4089,1.1488962924E-03,5.1486804262E-04,2.5456793939E-06,2003-08-11,TB103223,-0.0014,,,
4100,1.0975445243E-03,5.2945837718E-04,2.2515723025E-06,2006-07-06,TB106187,-0.0010,,,
4100,1.1428519176E-03,5.1391470462E-04,2.5220066330E-06,2003-08-11,TB103223,0.0016,,,
4104,1.0973832372E-03,5.3127540972E-04,2.2250166095E-06,2006-06-30,TB106174,0.0010,,,
4104,1.0828312544E-03,5.3623968937E-04,2.1402539870E-06,2003-03-25,TB103084,0.0016,,,
4110,1.0107804081E-03,5.6244190762E-04,1.7105234268E-06,2012-01-23,TB112023,0.0009,,,
4110,1.2632737999E-03,4.7594608822E-04,3.2160563863E-06,2006-07-06,TB106187,-0.0047,,,
4110,1.0974624091E-03,5.3279028084E-04,2.2273958137E-06,2003-03-25,TB103084,0.0018,,,
4113,1.0776525847E-03,5.3603256316E-04,2.1464392850E-06,2003-01-12,,-0.0006,DEAD as of 2004 deployment,,
4116,1.0725111132E-03,5.3937411756E-04,2.0948836459E-06,2013-04-19,TB113019,0.0014,,,
4116,1.0513909155E-03,5.4666493598E-04,1.9664702883E-06,2013-05-29,TB113149,0.0008,,,
4116,1.0873749691E-03,5.3451340855E-04,2.1730424576E-06,2006-07-10,TB106191,-0.0006,,,
4116,1.0804582915E-03,5.3689073265E-04,2.1322553635E-06,2003-01-12,,0.0012,,,
4117,1.0632642369E-03,5.4390350191E-04,2.0310834614E-06,2013-05-29,TB113149,0.0010,,,
4117,1.0978040777E-03,5.3219493536E-04,2.2315139637E-06,2006-07-10,TB106191,0.0007,,,
4117,1.0785729179E-03,5.3881020033E-04,2.1161083827E-06,2003-01-12,,0.0007,,,
4118,1.0592577053E-03,5.4198046856E-04,2.0492328692E-06,2013-05-29,TB113149,0.0010,,,
4118,1.1009062364E-03,5.2778846386E-04,2.2926886648E-06,2011-07-21,TB104091,-0.0005,,,
4118,1.1239789639E-03,5.1992501513E-04,2.4304764987E-06,2010-02-03,TB110034,0.0018,,,
4118,1.0981249216E-03,5.2887617229E-04,2.2714650547E-06,2006-07-06,TB106187,0.0012,,,
4120,1.0172974952E-03,5.5705031854E-04,1.8028626068E-06,2012-01-23,TB112023,-0.0009,,,
4120,1.0797160451E-03,5.3579725918E-04,2.1697745164E-06,2006-07-10,TB106191,-0.0011,,,
4120,1.1373005424E-03,5.1614724160E-04,2.5079976263E-06,2003-08-11,TB103223,0.0035,,,
4120,1.0650872434E-03,5.4074416515E-04,2.0866987668E-06,2003-01-12,,0.0006,,,
4121,1.1006553040E-03,5.3120599404E-04,2.2471036250E-06,2011-07-21,TB104091,-0.0005,,,
4121,1.0942850272E-03,5.3150697261E-04,2.2462419590E-06,2010-02-03,TB110034,0.0013,,,
4121,1.0743348972E-03,5.3837651079E-04,2.1255831743E-06,2006-07-10,TB106191,0.0007,,,
4121,1.1233116512E-03,5.2161670584E-04,2.4155238778E-06,2003-08-11,TB103223,0.0019,,,
4121,1.0572978028E-03,5.4423576582E-04,2.0232583366E-06,2003-01-12,,-0.0005,,,
4134,1.0821430136E-03,5.3495667960E-04,2.1826867329E-06,2011-07-21,TB104091,-0.0005,,,
4134,1.0843504418E-03,5.3287945083E-04,2.2347512585E-06,2010-02-03,TB110034,-0.0009,,,
4134,1.0567421726E-03,5.4236755802E-04,2.0690296231E-06,2006-07-10,TB106191,0.0008,,,
4134,1.0459952385E-03,5.4607566535E-04,2.0036467627E-06,2003-01-12,,-0.0006,,,
4135,1.0425839240E-03,5.5127175734E-04,1.9286488138E-06,2002-01-23,TB102023,0.0009,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
