MTR-SN,Coeff-A,Coeff-B,Coeff-C,Calibration Date,comments,Cal. Residual,comments,,
3260,1.0839008327E-03,5.3612704711E-04,2.1274654347E-06,2003-01-09,,-0.0015,,,
3260,1.0676544598E-03,5.4165045532E-04,2.0344096751E-06,2002-01-19,TB102019,0.0007,,,
3261,1.0884509712E-03,5.3576140357E-04,2.1638081330E-06,2003-01-09,,0.0010,,,
3261,1.0244250000E-03,5.3840910000E-04,2.0275710000E-06,2001-03-09,,-0.0015,,,
3262,1.0890265974E-03,5.3325076962E-04,2.1955266136E-06,2003-01-09,,0.0006,,,
3262,1.0417500000E-03,5.3033150000E-04,2.1514930000E-06,2001-03-09,,-0.0017,,,
3263,1.0206787141E-03,5.5684974855E-04,1.7466302804E-06,2013-04-17,TB113107,-0.0016,,,
3263,1.0350597862E-03,5.5183239070E-04,1.8374577058E-06,2011-07-21,TB104091,0.0006,,,
3263,1.0636107532E-03,5.4225139130E-04,1.9991532990E-06,2010-02-01,TB110032,-0.0013,,,
3263,1.0440215907E-03,5.4904507817E-04,1.8773823644E-06,2006-06-30,TB106174,-0.0008,,,
3263,1.0132620539E-03,5.5948898862E-04,1.6990206479E-06,2004-11-04,TB104310,0.0007,,,
3263,1.0511363313E-03,5.4659474591E-04,1.9209053168E-06,2003-01-09,,0.0007,,,
3263,1.0020390000E-03,5.4403260000E-04,1.8820000000E-06,2001-03-09,,-0.0005,,,
3264,1.0362678096E-03,5.5266504084E-04,1.8438968795E-06,2013-05-29,TB113149,0.0014,,,
3264,1.0663055623E-03,5.4239825867E-04,2.0209754821E-06,2011-07-21,TB104091,-0.0009,,,
3264,1.0918901490E-03,5.3369561310E-04,2.1724218351E-06,2010-02-01,TB110032,0.0017,,,
3264,1.0617498849E-03,5.4405621200E-04,1.9908719351E-06,2004-11-04,TB104310,0.0010,,,
3264,1.0705575920E-03,5.4105471142E-04,2.0432139799E-06,2003-01-09,,0.0006,,,
3264,1.0460630000E-03,5.3041680000E-04,2.1313430000E-06,2001-03-09,,-0.0020,,,
3265,1.0360881761E-03,5.4860968996E-04,1.9003534399E-06,2004-11-04,TB104310,-0.0008,,,
3265,1.0371967352E-03,5.4811643111E-04,1.9128509708E-06,2004-01-29,TB104030,-0.0012,,,
3265,1.0561427649E-03,5.4179269229E-04,2.0177149448E-06,2003-03-25,TB102016,0.0015,,,
3265,5.2424980628E-10,8.9980525888E-04,-4.0724494644E-06,2002-01-16,TB103084,-0.0306,2¡ C reading not used to calc residuals,,
3266,1.0385278954E-03,5.5073035745E-04,1.9108206639E-06,2013-04-17,TB113107,-0.0020,,,
