MTR-SN,Coeff-A,Coeff-B,Coeff-C,Calibration Date,comments,Cal. Residual,comments
3122,1.1009150032E-03,5.3617231988E-04,2.2029748037E-06,9-Jul-16,TB116190,0.0007,
3122,1.0760315467E-03,5.4458136352E-04,2.0592372367E-06,21-Jan-14,TB114021,-0.002,
3122,1.0555819421E-03,5.5166340616E-04,1.9330539971E-06,17-Apr-13,TB113107,0.0011,
3122,1.1160765089E-03,5.3090557494E-04,2.2970126874E-06,1-Feb-10,TB110032,-0.0008,
3122,1.1035112703E-03,5.3536093783E-04,2.2146066535E-06,6-Jul-06,TB106187,-0.0008,
3138,1.0743519278E-03,5.3951922708E-04,2.1078285691E-06,9-Jul-16,TB116190,0.0007,
3138,1.0546375061E-03,5.4614834490E-04,1.9951024106E-06,21-Jan-14,TB114021,-0.0014,
3138,1.0411853928E-03,5.5073955379E-04,1.9157481929E-06,17-Apr-13,TB113107,-0.0014,
3138,1.1039363507E-03,5.2932950520E-04,2.2870091778E-06,3-Feb-10,TB110034,0.0016,
3138,1.0798095747E-03,5.3772849342E-04,2.1359837853E-06,6-Jul-06,TB106187,-0.0009,
3142,1.0555227449E-03,5.4291177977E-04,2.0492774447E-06,19-Jan-02,TB102019,0.001,
3167,1.1192116331E-03,5.2878727763E-04,2.3096293144E-06,13-Nov-15,TB115317,-0.0014,
3167,1.0805630464E-03,5.4217597597E-04,2.0711648041E-06,21-Jan-14,TB114021,-0.0017,
3167,1.0796138609E-03,5.4243965452E-04,2.0694822017E-06,19-Apr-13,TB113019,-0.0008,
3180,1.0918619836E-03,5.3713222527E-04,2.1828049803E-06,9-Jul-16,TB116190,-0.0016,
3180,1.0580470493E-03,5.4864073469E-04,1.9836777109E-06,21-Jan-14,TB114021,-0.0022,
3180,1.0468885710E-03,5.5244057014E-04,1.9183033417E-06,17-Apr-13,TB113107,0.0021,
3180,1.1246882239E-03,5.2580003588E-04,2.3831781353E-06,3-Feb-10,TB110034,0.0015,
3180,1.0890982621E-03,5.3820472616E-04,2.1595838721E-06,6-Jul-06,TB106187,0.0009,
3180,1.0590872700E-03,5.4855902302E-04,1.9766391535E-06,8-Aug-03,TB103220,0.002,
3180,1.0413044454E-03,5.5458290070E-04,1.8769688528E-06,19-Jan-02,TB102019,-0.001,
3194,1.0901590186E-03,5.3953920653E-04,2.1113956923E-06,9-Jul-16,TB116190,-0.0013,
3194,1.1192119512E-03,5.2937385557E-04,2.2939038508E-06,13-Nov-15,TB115317,0.0016,
3194,1.0755609425E-03,5.4448000701E-04,2.0244769814E-06,21-Jan-14,TB114021,-0.0019,
3194,1.0080511057E-03,5.6778748826E-04,1.6128039746E-06,23-Jan-12,TB112023,0.001,
3194,1.0998289802E-03,5.3617560823E-04,2.1712978400E-06,1-Feb-10,TB110032,-0.0016,
3194,1.0971662200E-03,5.3725576339E-04,2.1462896909E-06,30-Jun-06,TB106174,0.0013,
