time,15ckpitae_s37_0001m.unqcd,15ckpitae_s37_0001m.unqcd.localtime,15ckpitae_s37_0025m.unqcd
2015-07-13 15:00:00,31.059,31.097,31.954
2015-07-13 16:00:00,31.078,31.101,32.19
2015-07-13 17:00:00,31.081,31.101,32.154
2015-07-13 18:00:00,31.084,31.1,32.055
2015-07-13 19:00:00,31.087,31.096,32.183
2015-07-13 20:00:00,31.087,31.093,32.147
2015-07-13 21:00:00,31.086,31.092,32.082
2015-07-13 22:00:00,31.097,31.091,32.107
2015-07-13 23:00:00,31.101,31.091,32.18
2015-07-14 00:00:00,31.101,31.09,32.251
2015-07-14 01:00:00,31.1,31.09,32.214
2015-07-14 02:00:00,31.096,31.093,32.187
2015-07-14 03:00:00,31.093,31.099,32.096
2015-07-14 04:00:00,31.092,31.105,32.14
2015-07-14 05:00:00,31.091,31.109,32.013
2015-07-14 06:00:00,31.091,31.125,32.121
2015-07-14 07:00:00,31.09,31.155,32.167
2015-07-14 08:00:00,31.09,31.17,32.153
2015-07-14 09:00:00,31.093,31.16,32.244
2015-07-14 10:00:00,31.099,31.159,32.21
2015-07-14 11:00:00,31.105,31.161,32.188
