time,24bspr2a_rcmsg_0052m,24bspr2a_s16_0001m
2024-05-22 16:00:00,333.434,364.115
2024-05-22 17:00:00,333.478,363.891
2024-05-22 18:00:00,333.517,363.831
2024-05-22 19:00:00,333.518,364.678
2024-05-22 20:00:00,333.227,365.396
2024-05-22 21:00:00,332.524,366.314
2024-05-22 22:00:00,330.402,370.476
2024-05-22 23:00:00,325.379,371.841
2024-05-23 00:00:00,327.456,370.5
2024-05-23 01:00:00,327.549,368.899
2024-05-23 02:00:00,327.463,369.143
2024-05-23 03:00:00,328.034,371.772
2024-05-23 04:00:00,328.708,373.595
2024-05-23 05:00:00,330.219,374.528
2024-05-23 06:00:00,331.288,373.615
2024-05-23 07:00:00,331.936,370.94
2024-05-23 08:00:00,331.962,370.03
2024-05-23 09:00:00,332.098,369.606
2024-05-23 10:00:00,331.793,369.335
2024-05-23 11:00:00,331.628,368.738
2024-05-23 12:00:00,331.556,368.072
2024-05-23 13:00:00,331.939,367.267
2024-05-23 14:00:00,332.006,366.237
2024-05-23 15:00:00,331.733,365.623
2024-05-23 16:00:00,331.531,365.475
2024-05-23 17:00:00,331.361,365.808
2024-05-23 18:00:00,331.53,366.197
2024-05-23 19:00:00,331.605,366.924
2024-05-23 20:00:00,331.376,368.47
2024-05-23 21:00:00,329.358,371.031
2024-05-23 22:00:00,323.162,374.505
2024-05-23 23:00:00,318.885,376.729
2024-05-24 00:00:00,318.818,373.247
2024-05-24 01:00:00,318.503,370.307
2024-05-24 02:00:00,320.509,371.469
2024-05-24 03:00:00,322.24,373.342
2024-05-24 04:00:00,323.579,375.488
2024-05-24 05:00:00,325.919,376.572
2024-05-24 06:00:00,326.81,374.981
2024-05-24 07:00:00,328.236,373.682
2024-05-24 08:00:00,329.124,371.344
2024-05-24 09:00:00,329.474,369.69
2024-05-24 10:00:00,329.795,368.319
2024-05-24 11:00:00,329.595,367.695
2024-05-24 12:00:00,330.037,367.24
2024-05-24 13:00:00,330.217,366.462
2024-05-24 14:00:00,330.359,365.456
2024-05-24 15:00:00,330.577,364.522
2024-05-24 16:00:00,330.628,363.515
2024-05-24 17:00:00,330.592,363.229
2024-05-24 18:00:00,330.54,363.143
2024-05-24 19:00:00,330.543,363.389
2024-05-24 20:00:00,330.223,364.249
2024-05-24 21:00:00,329.099,365.565
2024-05-24 22:00:00,326.758,367.567
2024-05-24 23:00:00,322.976,369.325
2024-05-25 00:00:00,322.344,368.54
2024-05-25 01:00:00,321.225,359.064
2024-05-25 02:00:00,322.121,357.888
2024-05-25 03:00:00,323.598,358.918
2024-05-25 04:00:00,323.966,366.816
2024-05-25 05:00:00,324.519,369.954
2024-05-25 06:00:00,325.427,370.474
2024-05-25 07:00:00,326.894,367.962
2024-05-25 08:00:00,328.269,366.233
2024-05-25 09:00:00,328.513,365.445
2024-05-25 10:00:00,328.572,364.737
2024-05-25 11:00:00,328.745,363.884
2024-05-25 12:00:00,328.819,363.81
2024-05-25 13:00:00,328.933,363.388
2024-05-25 14:00:00,328.907,362.934
2024-05-25 15:00:00,328.687,362.308
2024-05-25 16:00:00,328.728,361.981
2024-05-25 17:00:00,328.91,361.881
2024-05-25 18:00:00,328.915,361.892
2024-05-25 19:00:00,328.791,362.49
2024-05-25 20:00:00,328.724,363.233
2024-05-25 21:00:00,328.095,365.229
2024-05-25 22:00:00,327.564,365.713
2024-05-25 23:00:00,325.655,365.617
2024-05-26 00:00:00,322.923,358.594
2024-05-26 01:00:00,319.38,359.471
2024-05-26 02:00:00,315.815,360.745
2024-05-26 03:00:00,313.502,361.46
2024-05-26 04:00:00,313.085,361.993
2024-05-26 05:00:00,314.582,361.921
2024-05-26 06:00:00,316.95,361.991
2024-05-26 07:00:00,320.798,360.454
2024-05-26 08:00:00,324.114,359.711
2024-05-26 09:00:00,326.311,360.993
2024-05-26 10:00:00,327.296,360.013
2024-05-26 11:00:00,327.656,359.253
2024-05-26 12:00:00,327.817,358.632
2024-05-26 13:00:00,327.873,357.845
2024-05-26 14:00:00,329.72,356.823
2024-05-26 15:00:00,330.884,355.963
2024-05-26 16:00:00,330.19,355.445
2024-05-26 17:00:00,331.823,355.463
2024-05-26 18:00:00,331.835,354.883
2024-05-26 19:00:00,331.571,354.721
2024-05-26 20:00:00,335.899,354.934
2024-05-26 21:00:00,336.752,355.069
2024-05-26 22:00:00,337.758,354.805
2024-05-26 23:00:00,328.264,353.886
2024-05-27 00:00:00,326.869,355.092
2024-05-27 01:00:00,321.697,357.964
2024-05-27 02:00:00,329.581,358.169
2024-05-27 03:00:00,338.612,357.944
2024-05-27 04:00:00,315.665,357.786
2024-05-27 05:00:00,323.946,357.327
2024-05-27 06:00:00,330.711,357.099
2024-05-27 07:00:00,335.15,356.852
2024-05-27 08:00:00,328.785,357.065
2024-05-27 09:00:00,330.836,356.282
2024-05-27 10:00:00,329.651,353.803
2024-05-27 11:00:00,333.322,353.694
2024-05-27 12:00:00,336.953,354.106
2024-05-27 13:00:00,333.534,353.926
2024-05-27 14:00:00,331.125,353.78
2024-05-27 15:00:00,337.94,353.852
2024-05-27 16:00:00,334.783,354.107
2024-05-27 17:00:00,333.149,355.277
2024-05-27 18:00:00,333.693,357.306
2024-05-27 19:00:00,334.946,360.569
2024-05-27 20:00:00,335.014,364.408
2024-05-27 21:00:00,331.942,366.826
2024-05-27 22:00:00,331.912,369.003
2024-05-27 23:00:00,331.137,369.417
2024-05-28 00:00:00,329.054,371.728
2024-05-28 01:00:00,324.436,376.323
2024-05-28 02:00:00,318.982,375.946
2024-05-28 03:00:00,317.217,376.888
2024-05-28 04:00:00,316.986,380.779
2024-05-28 05:00:00,315.316,377.441
2024-05-28 06:00:00,314.594,382.992
2024-05-28 07:00:00,316.152,378.678
2024-05-28 08:00:00,319.551,368.118
2024-05-28 09:00:00,323.765,374.649
2024-05-28 10:00:00,326.879,371.405
2024-05-28 11:00:00,328.413,369.949
2024-05-28 12:00:00,328.972,365.854
2024-05-28 13:00:00,330.154,363.561
2024-05-28 14:00:00,329.532,362.23
2024-05-28 15:00:00,329.696,362.376
2024-05-28 16:00:00,329.515,362.263
2024-05-28 17:00:00,329.841,362.108
2024-05-28 18:00:00,329.624,362.674
2024-05-28 19:00:00,330.271,363.652
2024-05-28 20:00:00,331.14,363.953
2024-05-28 21:00:00,331.006,364.656
2024-05-28 22:00:00,330.545,365.774
2024-05-28 23:00:00,329.172,365.954
2024-05-29 00:00:00,327.998,366.445
2024-05-29 01:00:00,325.865,367.914
2024-05-29 02:00:00,319.054,365.502
2024-05-29 03:00:00,314.408,367.534
2024-05-29 04:00:00,311.97,366.699
2024-05-29 05:00:00,309.482,367.006
2024-05-29 06:00:00,309.165,366.122
2024-05-29 07:00:00,311.565,371.428
2024-05-29 08:00:00,314.499,372.601
2024-05-29 09:00:00,318.412,366.623
2024-05-29 10:00:00,323.974,377.061
2024-05-29 11:00:00,326.385,376.547
2024-05-29 12:00:00,326.883,375.715
2024-05-29 13:00:00,327.505,375.143
2024-05-29 14:00:00,327.67,375.061
2024-05-29 15:00:00,327.995,375.255
2024-05-29 16:00:00,327.307,377.783
2024-05-29 17:00:00,327.222,380.803
2024-05-29 18:00:00,327.742,382.603
