time,15ckp9a_an11_0922m,15ckp9a_an9_0377m,15ckp9a_an9_0672m,15ckp9a_lrcp_scal,15ckp9a_s37_0378m
2015-09-15 21:00:00,,,,0.63,0.696
2015-09-15 22:00:00,-0.014,0.672,0.31,0.63,0.709
2015-09-15 23:00:00,-0.014,0.672,0.31,0.63,0.711
2015-09-16 00:00:00,-0.014,0.672,0.287,0.637,0.71
2015-09-16 01:00:00,-0.014,0.672,0.287,0.64,0.709
2015-09-16 02:00:00,-0.014,0.672,0.263,0.64,0.712
2015-09-16 03:00:00,-0.014,0.649,0.263,0.627,0.701
2015-09-16 04:00:00,-0.014,0.649,0.239,0.613,0.69
2015-09-16 05:00:00,-0.014,0.649,0.263,0.617,0.692
2015-09-16 06:00:00,-0.014,0.672,0.263,0.62,0.706
2015-09-16 07:00:00,0.009,0.649,0.263,0.62,0.694
2015-09-16 08:00:00,0.009,0.649,0.239,0.613,0.696
2015-09-16 09:00:00,0.009,0.649,0.287,0.61,0.69
2015-09-16 10:00:00,0.009,0.649,0.287,0.617,0.697
2015-09-16 11:00:00,-0.014,0.649,0.263,0.62,0.696
2015-09-16 12:00:00,0.009,0.649,0.287,0.627,0.692
2015-09-16 13:00:00,0.009,0.672,0.239,0.637,0.712
2015-09-16 14:00:00,0.009,0.672,0.239,0.647,0.718
2015-09-16 15:00:00,0.009,0.672,0.239,0.65,0.718
2015-09-16 16:00:00,0.009,0.672,0.239,0.63,0.713
2015-09-16 17:00:00,0.009,0.625,0.216,0.607,0.674
2015-09-16 18:00:00,0.033,0.649,0.216,0.6,0.686
2015-09-16 19:00:00,0.033,0.649,0.216,0.607,0.69
2015-09-16 20:00:00,0.056,0.649,0.216,0.61,0.699
2015-09-16 21:00:00,0.056,0.649,0.239,0.623,0.7
2015-09-16 22:00:00,0.056,0.672,0.239,0.643,0.723
2015-09-16 23:00:00,0.056,0.696,0.239,0.65,0.731
2015-09-17 00:00:00,0.08,0.696,0.287,0.65,0.737
2015-09-17 01:00:00,0.056,0.696,0.31,0.657,0.733
2015-09-17 02:00:00,0.08,0.696,0.31,0.66,0.742
2015-09-17 03:00:00,0.08,0.696,0.287,0.66,0.742
2015-09-17 04:00:00,0.08,0.696,0.287,0.66,0.746
2015-09-17 05:00:00,0.08,0.696,0.287,0.653,0.739
2015-09-17 06:00:00,0.08,0.696,0.239,0.643,0.74
2015-09-17 07:00:00,0.08,0.672,0.239,0.64,0.715
2015-09-17 08:00:00,0.08,0.672,0.287,0.627,0.72
2015-09-17 09:00:00,0.08,0.649,0.287,0.627,0.699
2015-09-17 10:00:00,0.08,0.672,0.31,0.63,0.715
2015-09-17 11:00:00,0.08,0.672,0.31,0.63,0.711
2015-09-17 12:00:00,0.08,0.672,0.31,0.623,0.717
2015-09-17 13:00:00,0.08,0.649,0.334,0.62,0.704
2015-09-17 14:00:00,0.08,0.672,0.31,0.62,0.709
2015-09-17 15:00:00,0.056,0.672,0.287,0.627,0.713
2015-09-17 16:00:00,0.08,0.649,0.287,0.65,0.704
2015-09-17 17:00:00,0.056,0.672,0.287,0.653,0.718
2015-09-17 18:00:00,0.056,0.672,0.287,0.663,0.718
2015-09-17 19:00:00,0.056,0.696,0.287,0.657,0.728
2015-09-17 20:00:00,0.08,0.696,0.287,0.65,0.735
2015-09-17 21:00:00,0.08,0.696,0.287,0.65,0.732
2015-09-17 22:00:00,0.056,0.719,0.287,0.663,0.752
2015-09-17 23:00:00,0.056,0.719,0.287,0.663,0.75
2015-09-18 00:00:00,0.056,0.719,0.31,0.66,0.754
2015-09-18 01:00:00,0.056,0.696,0.287,0.653,0.734
2015-09-18 02:00:00,0.033,0.696,0.287,0.65,0.725
2015-09-18 03:00:00,0.033,0.672,0.287,0.643,0.727
2015-09-18 04:00:00,0.033,0.672,0.287,0.64,0.719
2015-09-18 05:00:00,0.033,0.672,0.287,0.647,0.714
2015-09-18 06:00:00,0.033,0.696,0.287,0.65,0.737
2015-09-18 07:00:00,0.033,0.696,0.287,0.65,0.726
2015-09-18 08:00:00,0.033,0.672,0.31,0.65,0.726
2015-09-18 09:00:00,0.033,0.696,0.31,0.65,0.727
2015-09-18 10:00:00,0.033,0.672,0.334,0.643,0.721
2015-09-18 11:00:00,0.033,0.672,0.334,0.653,0.722
2015-09-18 12:00:00,0.033,0.696,0.357,0.64,0.735
2015-09-18 13:00:00,0.009,0.672,0.357,0.63,0.708
2015-09-18 14:00:00,0.009,0.672,0.357,0.643,0.712
2015-09-18 15:00:00,0.009,0.672,0.334,0.663,0.703
2015-09-18 16:00:00,0.009,0.649,0.334,0.67,0.696
2015-09-18 17:00:00,0.009,0.719,0.334,0.67,0.763
2015-09-18 18:00:00,0.009,0.719,0.334,0.677,0.763
2015-09-18 19:00:00,0.009,0.696,0.334,0.673,0.743
2015-09-18 20:00:00,0.009,0.696,0.357,0.67,0.743
2015-09-18 21:00:00,-0.014,0.719,0.334,0.677,0.75
2015-09-18 22:00:00,-0.014,0.719,0.334,0.687,0.757
2015-09-18 23:00:00,0.009,0.719,0.334,0.683,0.763
2015-09-19 00:00:00,0.009,0.719,0.334,0.68,0.756
2015-09-19 01:00:00,0.009,0.719,0.31,0.68,0.765
2015-09-19 02:00:00,0.009,0.719,0.31,0.68,0.759
2015-09-19 03:00:00,-0.014,0.719,0.31,0.673,0.756
2015-09-19 04:00:00,-0.014,0.696,0.31,0.67,0.749
2015-09-19 05:00:00,0.009,0.696,0.31,0.677,0.746
2015-09-19 06:00:00,0.009,0.719,0.31,0.68,0.759
2015-09-19 07:00:00,0.009,0.719,0.31,0.68,0.749
2015-09-19 08:00:00,0.009,0.719,0.31,0.673,0.756
2015-09-19 09:00:00,-0.014,0.719,0.31,0.67,0.758
2015-09-19 10:00:00,-0.014,0.696,0.31,0.663,0.738
2015-09-19 11:00:00,-0.014,0.696,0.31,0.66,0.74
2015-09-19 12:00:00,-0.014,0.696,0.31,0.647,0.734
2015-09-19 13:00:00,-0.014,0.696,0.31,0.647,0.728
2015-09-19 14:00:00,-0.014,0.696,0.334,0.663,0.725
2015-09-19 15:00:00,-0.014,0.696,0.334,0.67,0.742
2015-09-19 16:00:00,-0.014,0.696,0.334,0.657,0.729
2015-09-19 17:00:00,-0.014,0.672,0.334,0.65,0.726
2015-09-19 18:00:00,-0.014,0.696,0.334,0.65,0.731
2015-09-19 19:00:00,-0.014,0.696,0.334,0.65,0.736
2015-09-19 20:00:00,-0.014,0.696,0.334,0.65,0.729
2015-09-19 21:00:00,-0.014,0.696,0.334,0.657,0.733
2015-09-19 22:00:00,-0.038,0.696,0.334,0.667,0.744
2015-09-19 23:00:00,-0.014,0.696,0.334,0.67,0.729
2015-09-20 00:00:00,-0.014,0.719,0.334,0.67,0.749
2015-09-20 01:00:00,-0.014,0.719,0.334,0.677,0.759
2015-09-20 02:00:00,-0.014,0.696,0.334,0.673,0.749
2015-09-20 03:00:00,-0.014,0.696,0.334,0.67,0.733
2015-09-20 04:00:00,-0.014,0.696,0.334,0.67,0.739
2015-09-20 05:00:00,-0.038,0.719,0.334,0.67,0.754
2015-09-20 06:00:00,-0.038,0.719,0.334,0.67,0.755
2015-09-20 07:00:00,-0.014,0.719,0.334,0.67,0.751
2015-09-20 08:00:00,-0.038,0.696,0.31,0.657,0.725
2015-09-20 09:00:00,-0.014,0.696,0.334,0.65,0.734
2015-09-20 10:00:00,-0.014,0.696,0.31,0.65,0.731
2015-09-20 11:00:00,-0.038,0.696,0.31,0.657,0.738
2015-09-20 12:00:00,-0.014,0.696,0.31,0.653,0.74
2015-09-20 13:00:00,-0.014,0.696,0.31,0.657,0.74
2015-09-20 14:00:00,-0.014,0.696,0.287,0.66,0.743
2015-09-20 15:00:00,-0.014,0.696,0.287,0.66,0.739
2015-09-20 16:00:00,-0.014,0.696,0.287,0.66,0.735
2015-09-20 17:00:00,-0.014,0.696,0.287,0.66,0.741
2015-09-20 18:00:00,-0.014,0.696,0.287,0.66,0.737
2015-09-20 19:00:00,-0.014,0.696,0.287,0.653,0.732
2015-09-20 20:00:00,-0.014,0.696,0.287,0.643,0.724
2015-09-20 21:00:00,-0.014,0.672,0.31,0.64,0.723
2015-09-20 22:00:00,-0.014,0.672,0.31,0.647,0.726
2015-09-20 23:00:00,-0.014,0.696,0.31,0.657,0.74
2015-09-21 00:00:00,0.009,0.696,0.31,0.653,0.74
2015-09-21 01:00:00,0.009,0.696,0.287,0.657,0.744
2015-09-21 02:00:00,0.009,0.696,0.31,0.66,0.745
2015-09-21 03:00:00,0.009,0.696,0.287,0.66,0.745
2015-09-21 04:00:00,-0.014,0.696,0.31,0.66,0.746
2015-09-21 05:00:00,-0.014,0.696,0.287,0.66,0.747
2015-09-21 06:00:00,-0.014,0.696,0.287,0.66,0.745
2015-09-21 07:00:00,0.009,0.696,0.31,0.66,0.747
2015-09-21 08:00:00,0.009,0.696,0.287,0.66,0.749
2015-09-21 09:00:00,0.009,0.696,0.287,0.66,0.746
2015-09-21 10:00:00,0.009,0.696,0.287,0.66,0.75
2015-09-21 11:00:00,0.033,0.696,0.287,0.66,0.748
2015-09-21 12:00:00,0.009,0.696,0.287,0.66,0.746
2015-09-21 13:00:00,0.033,0.696,0.287,0.66,0.747
2015-09-21 14:00:00,0.033,0.696,0.263,0.66,0.741
2015-09-21 15:00:00,0.033,0.696,0.263,0.667,0.74
2015-09-21 16:00:00,0.009,0.696,0.263,0.663,0.737
2015-09-21 17:00:00,0.009,0.696,0.263,0.66,0.741
2015-09-21 18:00:00,0.033,0.696,0.263,0.66,0.744
2015-09-21 19:00:00,0.009,0.696,0.263,0.66,0.746
2015-09-21 20:00:00,0.033,0.696,0.263,0.66,0.736
2015-09-21 21:00:00,0.033,0.696,0.263,0.66,0.726
2015-09-21 22:00:00,0.033,0.696,0.239,0.66,0.723
2015-09-21 23:00:00,0.033,0.696,0.239,0.66,0.744
2015-09-22 00:00:00,0.033,0.696,0.239,0.66,0.736
2015-09-22 01:00:00,0.009,0.672,0.239,0.653,0.721
2015-09-22 02:00:00,0.009,0.696,0.239,0.643,0.728
2015-09-22 03:00:00,0.033,0.672,0.239,0.647,0.71
2015-09-22 04:00:00,0.056,0.672,0.239,0.657,0.716
2015-09-22 05:00:00,0.056,0.696,0.239,0.647,0.727
2015-09-22 06:00:00,0.056,0.672,0.239,0.64,0.713
2015-09-22 07:00:00,0.056,0.672,0.239,0.633,0.723
2015-09-22 08:00:00,0.033,0.672,0.239,0.637,0.726
2015-09-22 09:00:00,0.033,0.672,0.239,0.633,0.725
2015-09-22 10:00:00,0.033,0.696,0.239,0.637,0.724
2015-09-22 11:00:00,0.033,0.696,0.239,0.647,0.728
2015-09-22 12:00:00,0.033,0.696,0.239,0.657,0.738
2015-09-22 13:00:00,0.033,0.672,0.239,0.66,0.719
2015-09-22 14:00:00,0.056,0.696,0.239,0.653,0.722
2015-09-22 15:00:00,0.056,0.672,0.239,0.643,0.713
2015-09-22 16:00:00,0.056,0.672,0.239,0.64,0.709
2015-09-22 17:00:00,0.056,0.672,0.239,0.647,0.725
2015-09-22 18:00:00,0.056,0.672,0.239,0.65,0.719
2015-09-22 19:00:00,0.056,0.672,0.239,0.643,0.716
2015-09-22 20:00:00,0.056,0.672,0.263,0.647,0.717
2015-09-22 21:00:00,0.056,0.672,0.239,0.65,0.715
2015-09-22 22:00:00,0.056,0.696,0.239,0.65,0.727
2015-09-22 23:00:00,0.056,0.696,0.239,0.657,0.743
2015-09-23 00:00:00,0.056,0.696,0.239,0.66,0.733
2015-09-23 01:00:00,0.08,0.696,0.239,0.653,0.738
2015-09-23 02:00:00,0.08,0.696,0.239,0.65,0.733
2015-09-23 03:00:00,0.056,0.672,0.239,0.643,0.716
2015-09-23 04:00:00,0.056,0.672,0.239,0.64,0.723
2015-09-23 05:00:00,0.056,0.672,0.239,0.647,0.722
2015-09-23 06:00:00,0.056,0.696,0.263,0.65,0.727
2015-09-23 07:00:00,0.056,0.696,0.239,0.643,0.738
2015-09-23 08:00:00,0.056,0.672,0.239,0.64,0.717
2015-09-23 09:00:00,0.056,0.672,0.239,0.633,0.708
2015-09-23 10:00:00,0.033,0.672,0.239,0.63,0.706
2015-09-23 11:00:00,0.056,0.672,0.239,0.63,0.705
2015-09-23 12:00:00,0.056,0.672,0.239,0.623,0.706
2015-09-23 13:00:00,0.033,0.649,0.239,0.62,0.699
2015-09-23 14:00:00,0.009,0.672,0.239,0.62,0.707
2015-09-23 15:00:00,0.033,0.672,0.239,0.62,0.733
2015-09-23 16:00:00,0.033,0.672,0.239,0.62,0.715
2015-09-23 17:00:00,0.033,0.672,0.239,0.633,0.71
2015-09-23 18:00:00,0.033,0.672,0.239,0.633,0.716
2015-09-23 19:00:00,0.033,0.672,0.239,0.63,0.724
2015-09-23 20:00:00,0.033,0.672,0.239,0.63,0.717
2015-09-23 21:00:00,0.033,0.672,0.239,0.643,0.72
2015-09-23 22:00:00,0.033,0.696,0.239,0.657,0.738
2015-09-23 23:00:00,0.033,0.696,0.239,0.667,0.736
2015-09-24 00:00:00,0.033,0.719,0.239,0.67,0.744
2015-09-24 01:00:00,0.033,0.719,0.239,0.67,0.754
2015-09-24 02:00:00,0.033,0.719,0.239,0.67,0.753
2015-09-24 03:00:00,0.033,0.719,0.239,0.67,0.754
2015-09-24 04:00:00,0.033,0.696,0.239,0.663,0.717
2015-09-24 05:00:00,0.056,0.696,0.239,0.66,0.732
2015-09-24 06:00:00,0.033,0.672,0.239,0.66,0.712
2015-09-24 07:00:00,0.033,0.696,0.239,0.66,0.725
2015-09-24 08:00:00,0.033,0.696,0.239,0.66,0.73
2015-09-24 09:00:00,0.009,0.696,0.239,0.66,0.728
2015-09-24 10:00:00,0.009,0.696,0.239,0.647,0.729
2015-09-24 11:00:00,0.009,0.672,0.239,0.647,0.709
2015-09-24 12:00:00,0.009,0.696,0.239,0.643,0.728
2015-09-24 13:00:00,0.009,0.672,0.239,0.64,0.715
2015-09-24 14:00:00,0.009,0.672,0.239,0.64,0.714
2015-09-24 15:00:00,0.009,0.672,0.239,0.64,0.705
2015-09-24 16:00:00,0.009,0.672,0.239,0.633,0.716
2015-09-24 17:00:00,0.009,0.672,0.239,0.63,0.711
2015-09-24 18:00:00,0.009,0.649,0.239,0.63,0.705
2015-09-24 19:00:00,0.009,0.672,0.239,0.63,0.707
2015-09-24 20:00:00,0.009,0.672,0.239,0.63,0.706
2015-09-24 21:00:00,0.009,0.672,0.239,0.63,0.705
2015-09-24 22:00:00,0.009,0.672,0.239,0.63,0.707
2015-09-24 23:00:00,0.009,0.672,0.239,0.63,0.709
2015-09-25 00:00:00,0.009,0.672,0.239,0.63,0.709
2015-09-25 01:00:00,0.009,0.672,0.239,0.637,0.709
2015-09-25 02:00:00,-0.014,0.672,0.239,0.64,0.714
2015-09-25 03:00:00,0.009,0.672,0.239,0.64,0.712
2015-09-25 04:00:00,-0.014,0.672,0.239,0.633,0.709
2015-09-25 05:00:00,-0.014,0.672,0.216,0.63,0.706
2015-09-25 06:00:00,-0.014,0.649,0.216,0.623,0.705
2015-09-25 07:00:00,-0.014,0.649,0.216,0.627,0.697
2015-09-25 08:00:00,-0.038,0.672,0.216,0.63,0.71
2015-09-25 09:00:00,-0.014,0.672,0.216,0.63,0.706
2015-09-25 10:00:00,-0.038,0.672,0.216,0.63,0.709
2015-09-25 11:00:00,-0.038,0.672,0.216,0.623,0.708
2015-09-25 12:00:00,-0.038,0.649,0.192,0.62,0.697
2015-09-25 13:00:00,-0.038,0.649,0.192,0.62,0.7
2015-09-25 14:00:00,-0.038,0.649,0.192,0.62,0.698
2015-09-25 15:00:00,-0.038,0.649,0.216,0.613,0.7
2015-09-25 16:00:00,-0.038,0.649,0.216,0.61,0.695
2015-09-25 17:00:00,-0.061,0.649,0.216,0.61,0.694
2015-09-25 18:00:00,-0.061,0.649,0.216,0.61,0.69
2015-09-25 19:00:00,-0.061,0.649,0.192,0.61,0.688
2015-09-25 20:00:00,-0.085,0.649,0.192,0.61,0.683
2015-09-25 21:00:00,-0.085,0.649,0.192,0.61,0.697
2015-09-25 22:00:00,-0.085,0.649,0.192,0.61,0.692
2015-09-25 23:00:00,-0.085,0.649,0.169,0.617,0.686
2015-09-26 00:00:00,-0.061,0.649,0.169,0.62,0.7
2015-09-26 01:00:00,-0.085,0.649,0.169,0.62,0.686
2015-09-26 02:00:00,-0.085,0.649,0.192,0.613,0.696
2015-09-26 03:00:00,-0.085,0.649,0.192,0.597,0.693
2015-09-26 04:00:00,-0.061,0.625,0.216,0.59,0.676
2015-09-26 05:00:00,-0.061,0.625,0.216,0.59,0.671
2015-09-26 06:00:00,-0.061,0.649,0.216,0.597,0.681
2015-09-26 07:00:00,-0.061,0.625,0.216,0.6,0.677
2015-09-26 08:00:00,-0.061,0.625,0.216,0.593,0.681
2015-09-26 09:00:00,-0.061,0.625,0.216,0.597,0.678
2015-09-26 10:00:00,-0.061,0.649,0.216,0.613,0.673
2015-09-26 11:00:00,-0.061,0.649,0.216,0.633,0.681
2015-09-26 12:00:00,-0.061,0.649,0.216,0.633,0.699
2015-09-26 13:00:00,-0.085,0.672,0.192,0.63,0.712
2015-09-26 14:00:00,-0.085,0.672,0.192,0.63,0.704
2015-09-26 15:00:00,-0.085,0.649,0.239,0.623,0.692
2015-09-26 16:00:00,-0.085,0.649,0.239,0.62,0.7
2015-09-26 17:00:00,-0.085,0.649,0.239,0.613,0.691
2015-09-26 18:00:00,-0.085,0.649,0.287,0.617,0.685
2015-09-26 19:00:00,-0.085,0.649,0.287,0.613,0.698
2015-09-26 20:00:00,-0.061,0.649,0.263,0.61,0.705
2015-09-26 21:00:00,-0.061,0.672,0.239,0.623,0.702
2015-09-26 22:00:00,-0.061,0.672,0.239,0.637,0.714
2015-09-26 23:00:00,-0.038,0.649,0.216,0.633,0.7
2015-09-27 00:00:00,-0.038,0.649,0.216,0.617,0.694
2015-09-27 01:00:00,-0.038,0.672,0.192,0.623,0.713
2015-09-27 02:00:00,-0.038,0.696,0.239,0.63,0.726
2015-09-27 03:00:00,0.009,0.696,0.31,0.643,0.735
2015-09-27 04:00:00,0.009,0.696,0.239,0.65,0.741
2015-09-27 05:00:00,0.009,0.672,0.31,0.643,0.724
2015-09-27 06:00:00,0.033,0.672,0.287,0.64,0.721
2015-09-27 07:00:00,0.056,0.696,0.263,0.64,0.73
2015-09-27 08:00:00,0.08,0.672,0.334,0.627,0.717
2015-09-27 09:00:00,0.08,0.649,0.287,0.62,0.702
2015-09-27 10:00:00,0.08,0.649,0.239,0.633,0.698
2015-09-27 11:00:00,0.08,0.696,0.239,0.64,0.729
2015-09-27 12:00:00,0.056,0.672,0.239,0.633,0.725
2015-09-27 13:00:00,0.033,0.672,0.263,0.63,0.716
2015-09-27 14:00:00,0.033,0.672,0.239,0.63,0.716
2015-09-27 15:00:00,0.009,0.672,0.239,0.623,0.722
2015-09-27 16:00:00,0.009,0.672,0.239,0.633,0.717
2015-09-27 17:00:00,0.009,0.696,0.239,0.647,0.728
2015-09-27 18:00:00,0.009,0.696,0.239,0.643,0.731
2015-09-27 19:00:00,0.009,0.672,0.216,0.64,0.724
2015-09-27 20:00:00,0.033,0.672,0.192,0.627,0.72
2015-09-27 21:00:00,0.033,0.649,0.192,0.62,0.702
2015-09-27 22:00:00,0.009,0.649,0.169,0.607,0.699
2015-09-27 23:00:00,0.009,0.649,0.145,0.6,0.688
2015-09-28 00:00:00,-0.014,0.649,0.145,0.593,0.679
2015-09-28 01:00:00,-0.014,0.625,0.145,0.59,0.662
2015-09-28 02:00:00,-0.014,0.625,0.145,0.623,0.659
2015-09-28 03:00:00,-0.014,0.696,0.145,0.64,0.728
2015-09-28 04:00:00,-0.014,0.696,0.192,0.633,0.727
2015-09-28 05:00:00,-0.014,0.672,0.192,0.63,0.707
2015-09-28 06:00:00,0.009,0.672,0.216,0.63,0.709
2015-09-28 07:00:00,0.009,0.672,0.239,0.63,0.725
2015-09-28 08:00:00,0.009,0.649,0.263,0.61,0.696
2015-09-28 09:00:00,0.009,0.625,0.216,0.6,0.674
2015-09-28 10:00:00,0.009,0.649,0.263,0.6,0.682
2015-09-28 11:00:00,0.009,0.649,0.216,0.607,0.684
2015-09-28 12:00:00,0.009,0.649,0.192,0.617,0.685
2015-09-28 13:00:00,-0.014,0.672,0.169,0.627,0.708
2015-09-28 14:00:00,0.009,0.672,0.192,0.637,0.708
2015-09-28 15:00:00,0.009,0.672,0.145,0.64,0.711
2015-09-28 16:00:00,0.009,0.649,0.145,0.633,0.694
2015-09-28 17:00:00,-0.014,0.672,0.169,0.623,0.712
2015-09-28 18:00:00,-0.014,0.649,0.145,0.613,0.694
2015-09-28 19:00:00,0.033,0.649,0.122,0.617,0.697
2015-09-28 20:00:00,0.009,0.649,0.145,0.62,0.702
2015-09-28 21:00:00,-0.038,0.649,0.145,0.62,0.698
2015-09-28 22:00:00,-0.014,0.649,0.145,0.613,0.696
2015-09-28 23:00:00,-0.038,0.649,0.145,0.603,0.7
2015-09-29 00:00:00,-0.038,0.649,0.169,0.607,0.687
2015-09-29 01:00:00,-0.038,0.649,0.192,0.63,0.695
2015-09-29 02:00:00,-0.014,0.649,0.169,0.647,0.702
2015-09-29 03:00:00,-0.061,0.672,0.192,0.65,0.725
2015-09-29 04:00:00,-0.061,0.696,0.192,0.643,0.726
2015-09-29 05:00:00,-0.061,0.696,0.169,0.64,0.724
2015-09-29 06:00:00,-0.061,0.672,0.169,0.633,0.713
2015-09-29 07:00:00,-0.061,0.649,0.169,0.637,0.701
2015-09-29 08:00:00,-0.038,0.672,0.145,0.64,0.701
2015-09-29 09:00:00,-0.061,0.672,0.169,0.64,0.721
2015-09-29 10:00:00,-0.038,0.672,0.145,0.627,0.718
2015-09-29 11:00:00,-0.038,0.649,0.122,0.62,0.693
2015-09-29 12:00:00,-0.109,0.672,0.122,0.627,0.708
2015-09-29 13:00:00,-0.085,0.672,0.145,0.63,0.72
2015-09-29 14:00:00,-0.109,0.672,0.122,0.63,0.72
2015-09-29 15:00:00,-0.109,0.649,0.122,0.63,0.699
2015-09-29 16:00:00,-0.038,0.672,0.122,0.63,0.717
2015-09-29 17:00:00,-0.061,0.672,0.145,0.637,0.714
2015-09-29 18:00:00,-0.061,0.649,0.145,0.627,0.698
2015-09-29 19:00:00,-0.061,0.649,0.145,0.613,0.7
2015-09-29 20:00:00,-0.061,0.649,0.145,0.61,0.687
2015-09-29 21:00:00,-0.061,0.649,0.145,0.61,0.695
2015-09-29 22:00:00,-0.061,0.625,0.145,0.597,0.67
2015-09-29 23:00:00,-0.061,0.625,0.145,0.603,0.66
2015-09-30 00:00:00,-0.085,0.649,0.145,0.61,0.694
2015-09-30 01:00:00,-0.085,0.649,0.145,0.61,0.686
2015-09-30 02:00:00,-0.085,0.649,0.145,0.61,0.679
2015-09-30 03:00:00,-0.061,0.649,0.145,0.597,0.679
2015-09-30 04:00:00,-0.085,0.625,0.145,0.583,0.657
2015-09-30 05:00:00,-0.085,0.602,0.145,0.593,0.65
2015-09-30 06:00:00,-0.061,0.625,0.145,0.6,0.658
2015-09-30 07:00:00,-0.085,0.625,0.145,0.593,0.665
2015-09-30 08:00:00,-0.061,0.625,0.145,0.59,0.674
2015-09-30 09:00:00,-0.061,0.625,0.145,0.59,0.67
2015-09-30 10:00:00,-0.061,0.625,0.145,0.603,0.662
2015-09-30 11:00:00,-0.038,0.649,0.145,0.61,0.687
2015-09-30 12:00:00,-0.038,0.649,0.145,0.603,0.679
2015-09-30 13:00:00,-0.014,0.649,0.145,0.593,0.686
2015-09-30 14:00:00,-0.061,0.625,0.145,0.603,0.674
2015-09-30 15:00:00,-0.061,0.625,0.145,0.623,0.674
2015-09-30 16:00:00,-0.085,0.672,0.145,0.637,0.71
2015-09-30 17:00:00,-0.109,0.672,0.145,0.633,0.719
2015-09-30 18:00:00,-0.109,0.649,0.145,0.623,0.696
2015-09-30 19:00:00,-0.132,0.649,0.145,0.613,0.701
2015-09-30 20:00:00,-0.132,0.649,0.145,0.61,0.693
2015-09-30 21:00:00,-0.156,0.649,0.145,0.61,0.693
2015-09-30 22:00:00,-0.132,0.649,0.145,0.617,0.702
2015-09-30 23:00:00,-0.132,0.649,0.145,0.613,0.683
2015-10-01 00:00:00,-0.156,0.649,0.145,0.617,0.692
2015-10-01 01:00:00,-0.156,0.649,0.145,0.613,0.69
2015-10-01 02:00:00,-0.156,0.649,0.145,0.61,0.688
2015-10-01 03:00:00,-0.156,0.649,0.145,0.617,0.68
2015-10-01 04:00:00,-0.132,0.649,0.145,0.613,0.696
2015-10-01 05:00:00,-0.109,0.649,0.145,0.623,0.688
2015-10-01 06:00:00,-0.109,0.649,0.145,0.63,0.697
2015-10-01 07:00:00,-0.109,0.649,0.145,0.63,0.695
2015-10-01 08:00:00,-0.085,0.672,0.145,0.63,0.707
2015-10-01 09:00:00,-0.085,0.649,0.145,0.623,0.702
2015-10-01 10:00:00,-0.085,0.649,0.145,0.627,0.701
2015-10-01 11:00:00,-0.061,0.672,0.169,0.637,0.708
2015-10-01 12:00:00,-0.085,0.672,0.145,0.647,0.715
2015-10-01 13:00:00,-0.085,0.696,0.145,0.657,0.736
2015-10-01 14:00:00,-0.061,0.696,0.169,0.653,0.742
2015-10-01 15:00:00,-0.061,0.696,0.192,0.65,0.733
2015-10-01 16:00:00,-0.038,0.696,0.192,0.65,0.732
2015-10-01 17:00:00,-0.038,0.672,0.192,0.663,0.723
2015-10-01 18:00:00,-0.038,0.672,0.216,0.663,0.722
2015-10-01 19:00:00,0.009,0.696,0.239,0.673,0.744
2015-10-01 20:00:00,0.009,0.719,0.239,0.673,0.757
2015-10-01 21:00:00,0.033,0.696,0.216,0.663,0.747
2015-10-01 22:00:00,0.056,0.719,0.216,0.667,0.751
2015-10-01 23:00:00,0.056,0.719,0.192,0.677,0.754
2015-10-02 00:00:00,0.056,0.719,0.239,0.68,0.762
2015-10-02 01:00:00,0.056,0.719,0.239,0.673,0.762
2015-10-02 02:00:00,0.08,0.719,0.263,0.67,0.762
2015-10-02 03:00:00,0.08,0.719,0.287,0.677,0.764
2015-10-02 04:00:00,0.104,0.719,0.287,0.667,0.752
2015-10-02 05:00:00,0.08,0.696,0.239,0.653,0.747
2015-10-02 06:00:00,0.033,0.696,0.216,0.65,0.735
2015-10-02 07:00:00,0.033,0.696,0.216,0.65,0.733
2015-10-02 08:00:00,0.033,0.672,0.192,0.65,0.723
2015-10-02 09:00:00,0.056,0.672,0.192,0.657,0.72
2015-10-02 10:00:00,0.033,0.696,0.216,0.66,0.736
2015-10-02 11:00:00,0.056,0.696,0.216,0.667,0.738
2015-10-02 12:00:00,0.056,0.696,0.239,0.67,0.747
2015-10-02 13:00:00,0.009,0.719,0.239,0.67,0.747
2015-10-02 14:00:00,-0.014,0.696,0.216,0.67,0.747
2015-10-02 15:00:00,0.009,0.696,0.263,0.663,0.733
2015-10-02 16:00:00,0.033,0.696,0.239,0.667,0.74
2015-10-02 17:00:00,0.033,0.696,0.216,0.67,0.744
2015-10-02 18:00:00,0.009,0.719,0.216,0.663,0.757
2015-10-02 19:00:00,0.033,0.696,0.169,0.667,0.744
2015-10-02 20:00:00,0.056,0.696,0.192,0.663,0.745
2015-10-02 21:00:00,0.104,0.696,0.263,0.66,0.742
2015-10-02 22:00:00,0.104,0.696,0.263,0.667,0.75
2015-10-02 23:00:00,0.127,0.719,0.31,0.67,0.755
2015-10-03 00:00:00,0.151,0.719,0.31,0.67,0.755
2015-10-03 01:00:00,0.221,0.719,0.334,0.663,0.757
2015-10-03 02:00:00,0.174,0.696,0.334,0.667,0.746
2015-10-03 03:00:00,0.221,0.719,0.31,0.677,0.763
2015-10-03 04:00:00,0.221,0.719,0.334,0.673,0.761
