time,24bspr2a_eco_0001m
2024-05-05 00:00:00,0.0
2024-05-05 01:00:00,-0.008
2024-05-05 02:00:00,-0.001
2024-05-05 03:00:00,0.0
2024-05-05 04:00:00,0.0
2024-05-05 05:00:00,0.0
2024-05-05 06:00:00,0.0
2024-05-05 07:00:00,0.0
2024-05-05 08:00:00,0.0
2024-05-05 09:00:00,0.0
2024-05-05 10:00:00,0.0
2024-05-05 11:00:00,0.0
2024-05-05 12:00:00,0.0
2024-05-05 13:00:00,0.0
2024-05-05 14:00:00,0.0
2024-05-05 15:00:00,0.0
2024-05-05 16:00:00,0.0
2024-05-05 17:00:00,0.0
2024-05-05 18:00:00,-0.008
2024-05-05 19:00:00,-0.001
2024-05-05 20:00:00,-0.008
2024-05-05 21:00:00,-0.001
2024-05-05 22:00:00,0.0
2024-05-05 23:00:00,0.0
2024-05-06 00:00:00,0.0
2024-05-06 01:00:00,0.0
2024-05-06 02:00:00,-0.008
2024-05-06 03:00:00,0.0
2024-05-06 04:00:00,-0.008
2024-05-06 05:00:00,-0.001
2024-05-06 06:00:00,0.0
2024-05-06 07:00:00,0.0
2024-05-06 08:00:00,0.0
2024-05-06 09:00:00,0.0
2024-05-06 10:00:00,0.0
2024-05-06 11:00:00,0.0
2024-05-06 12:00:00,0.0
2024-05-06 13:00:00,0.0
2024-05-06 14:00:00,0.0
2024-05-06 15:00:00,0.0
2024-05-06 16:00:00,0.0
2024-05-06 17:00:00,0.0
2024-05-06 18:00:00,0.0
2024-05-06 19:00:00,0.0
2024-05-06 20:00:00,0.0
2024-05-06 21:00:00,-0.008
2024-05-06 22:00:00,-0.001
2024-05-06 23:00:00,-0.008
2024-05-07 00:00:00,0.0
2024-05-07 01:00:00,-0.008
2024-05-07 02:00:00,-0.001
2024-05-07 03:00:00,0.0
2024-05-07 04:00:00,0.0
2024-05-07 05:00:00,0.0
2024-05-07 06:00:00,0.0
2024-05-07 07:00:00,0.0
2024-05-07 08:00:00,0.0
2024-05-07 09:00:00,0.0
2024-05-07 10:00:00,0.0
2024-05-07 11:00:00,0.0
2024-05-07 12:00:00,0.0
2024-05-07 13:00:00,0.0
2024-05-07 14:00:00,0.0
2024-05-07 15:00:00,0.0
2024-05-07 16:00:00,0.0
2024-05-07 17:00:00,-0.008
2024-05-07 18:00:00,-0.001
2024-05-07 19:00:00,0.0
2024-05-07 20:00:00,0.0
2024-05-07 21:00:00,-0.008
2024-05-07 22:00:00,-0.001
2024-05-07 23:00:00,0.0
2024-05-08 00:00:00,0.0
2024-05-08 01:00:00,0.0
2024-05-08 02:00:00,0.0
2024-05-08 03:00:00,0.0
2024-05-08 04:00:00,0.0
2024-05-08 05:00:00,0.0
2024-05-08 06:00:00,0.0
2024-05-08 07:00:00,0.0
2024-05-08 08:00:00,0.0
2024-05-08 09:00:00,0.0
2024-05-08 10:00:00,0.0
2024-05-08 11:00:00,0.0
2024-05-08 12:00:00,0.0
2024-05-08 13:00:00,0.0
2024-05-08 14:00:00,0.0
2024-05-08 15:00:00,0.0
2024-05-08 16:00:00,0.0
2024-05-08 17:00:00,0.0
2024-05-08 18:00:00,0.0
2024-05-08 19:00:00,0.0
2024-05-08 20:00:00,0.0
2024-05-08 21:00:00,-0.008
2024-05-08 22:00:00,0.0
2024-05-08 23:00:00,0.0
2024-05-09 00:00:00,-0.008
2024-05-09 01:00:00,0.0
2024-05-09 02:00:00,0.0
2024-05-09 03:00:00,-0.008
2024-05-09 04:00:00,-0.033
2024-05-09 05:00:00,-0.034
2024-05-09 06:00:00,-0.026
2024-05-09 07:00:00,-0.025
2024-05-09 08:00:00,-0.034
2024-05-09 09:00:00,-0.034
2024-05-09 10:00:00,-0.034
2024-05-09 11:00:00,-0.025
2024-05-09 12:00:00,-0.026
2024-05-09 13:00:00,-0.025
2024-05-09 14:00:00,-0.025
2024-05-09 15:00:00,-0.042
2024-05-09 16:00:00,-0.019
2024-05-09 17:00:00,0.0
2024-05-09 18:00:00,0.0
2024-05-09 19:00:00,-0.008
2024-05-09 20:00:00,0.0
2024-05-09 21:00:00,-0.016
2024-05-09 22:00:00,-0.017
2024-05-09 23:00:00,-0.033
2024-05-10 00:00:00,-0.042
2024-05-10 01:00:00,-0.034
2024-05-10 02:00:00,-0.018
2024-05-10 03:00:00,-0.041
2024-05-10 04:00:00,-0.034
2024-05-10 05:00:00,-0.033
