time,15ckpitae_s37_0001m,15ckpitae_s37_0025m
2015-07-15 02:00:00,31.118,32.067
2015-07-15 03:00:00,31.115,32.164
2015-07-15 04:00:00,31.119,32.242
2015-07-15 05:00:00,31.126,32.289
2015-07-15 06:00:00,31.139,32.265
2015-07-15 07:00:00,31.148,32.233
2015-07-15 08:00:00,31.007,32.257
2015-07-15 09:00:00,30.985,32.133
2015-07-15 10:00:00,30.972,32.06
2015-07-15 11:00:00,30.984,32.304
2015-07-15 12:00:00,30.992,32.303
2015-07-15 13:00:00,30.997,32.204
2015-07-15 14:00:00,30.99,32.257
2015-07-15 15:00:00,30.966,32.193
2015-07-15 16:00:00,30.968,32.169
2015-07-15 17:00:00,30.989,32.33
2015-07-15 18:00:00,31.057,32.305
2015-07-15 19:00:00,31.058,32.312
2015-07-15 20:00:00,31.051,32.258
2015-07-15 21:00:00,31.004,32.138
2015-07-15 22:00:00,30.998,31.886
2015-07-15 23:00:00,31.008,31.842
2015-07-16 00:00:00,31.017,32.082
2015-07-16 01:00:00,31.021,32.194
2015-07-16 02:00:00,31.053,32.313
2015-07-16 03:00:00,31.071,32.266
2015-07-16 04:00:00,31.09,32.208
2015-07-16 05:00:00,31.118,32.269
2015-07-16 06:00:00,31.143,32.291
2015-07-16 07:00:00,31.167,32.3
2015-07-16 08:00:00,31.178,32.307
2015-07-16 09:00:00,31.19,32.163
2015-07-16 10:00:00,31.19,32.327
2015-07-16 11:00:00,31.198,32.347
2015-07-16 12:00:00,31.206,32.351
2015-07-16 13:00:00,31.204,32.353
2015-07-16 14:00:00,31.19,32.341
2015-07-16 15:00:00,31.159,32.311
2015-07-16 16:00:00,31.156,32.34
2015-07-16 17:00:00,31.151,32.344
2015-07-16 18:00:00,31.173,32.339
2015-07-16 19:00:00,31.205,32.349
2015-07-16 20:00:00,31.231,32.331
2015-07-16 21:00:00,31.238,32.332
2015-07-16 22:00:00,31.229,32.336
2015-07-16 23:00:00,31.217,32.341
2015-07-17 00:00:00,31.214,32.336
2015-07-17 01:00:00,31.206,32.328
2015-07-17 02:00:00,31.194,32.323
2015-07-17 03:00:00,31.2,32.344
2015-07-17 04:00:00,31.204,32.328
2015-07-17 05:00:00,31.212,32.336
2015-07-17 06:00:00,31.2,32.34
2015-07-17 07:00:00,31.151,32.343
2015-07-17 08:00:00,31.164,32.365
2015-07-17 09:00:00,31.19,32.31
2015-07-17 10:00:00,31.194,32.322
2015-07-17 11:00:00,31.192,32.341
2015-07-17 12:00:00,31.188,32.345
2015-07-17 13:00:00,31.186,32.339
2015-07-17 14:00:00,31.164,32.324
2015-07-17 15:00:00,31.044,32.331
2015-07-17 16:00:00,31.034,32.326
2015-07-17 17:00:00,31.01,32.336
2015-07-17 18:00:00,31.018,32.328
2015-07-17 19:00:00,31.04,32.306
2015-07-17 20:00:00,31.056,32.306
2015-07-17 21:00:00,31.066,32.304
2015-07-17 22:00:00,31.068,32.296
2015-07-17 23:00:00,31.067,32.298
2015-07-18 00:00:00,31.067,32.294
2015-07-18 01:00:00,31.07,32.296
2015-07-18 02:00:00,31.071,32.292
2015-07-18 03:00:00,31.067,32.292
2015-07-18 04:00:00,31.065,32.292
2015-07-18 05:00:00,31.079,32.297
2015-07-18 06:00:00,31.09,32.296
2015-07-18 07:00:00,31.086,32.302
2015-07-18 08:00:00,31.077,32.296
2015-07-18 09:00:00,31.112,32.288
2015-07-18 10:00:00,31.058,32.308
2015-07-18 11:00:00,31.078,32.296
2015-07-18 12:00:00,31.051,32.302
2015-07-18 13:00:00,31.079,32.303
2015-07-18 14:00:00,31.102,32.306
2015-07-18 15:00:00,31.102,32.302
2015-07-18 16:00:00,31.099,32.301
2015-07-18 17:00:00,31.094,32.297
2015-07-18 18:00:00,31.059,32.257
2015-07-18 19:00:00,31.095,32.279
2015-07-18 20:00:00,31.081,32.206
2015-07-18 21:00:00,31.057,32.214
2015-07-18 22:00:00,31.037,32.198
2015-07-18 23:00:00,31.024,32.144
2015-07-19 00:00:00,31.02,32.25
2015-07-19 01:00:00,31.015,32.16
2015-07-19 02:00:00,31.01,32.091
2015-07-19 03:00:00,31.014,32.092
2015-07-19 04:00:00,31.029,32.127
2015-07-19 05:00:00,31.055,32.244
2015-07-19 06:00:00,31.08,32.199
2015-07-19 07:00:00,31.107,32.225
2015-07-19 08:00:00,31.11,32.174
2015-07-19 09:00:00,31.112,32.18
2015-07-19 10:00:00,31.042,32.187
2015-07-19 11:00:00,30.995,32.184
2015-07-19 12:00:00,30.996,32.22
2015-07-19 13:00:00,31.031,32.18
2015-07-19 14:00:00,31.036,32.155
2015-07-19 15:00:00,31.031,32.202
2015-07-19 16:00:00,31.004,32.268
2015-07-19 17:00:00,30.984,32.302
2015-07-19 18:00:00,30.986,32.205
2015-07-19 19:00:00,31.016,32.256
2015-07-19 20:00:00,30.997,32.324
2015-07-19 21:00:00,31.006,32.345
2015-07-19 22:00:00,31.011,32.332
2015-07-19 23:00:00,30.996,32.351
2015-07-20 00:00:00,30.998,32.191
2015-07-20 01:00:00,31.013,32.232
2015-07-20 02:00:00,31.0,32.194
2015-07-20 03:00:00,31.015,32.174
2015-07-20 04:00:00,30.997,32.207
2015-07-20 05:00:00,31.007,32.065
2015-07-20 06:00:00,31.027,32.075
2015-07-20 07:00:00,31.053,31.983
2015-07-20 08:00:00,31.126,32.096
2015-07-20 09:00:00,31.132,32.064
2015-07-20 10:00:00,31.15,32.144
2015-07-20 11:00:00,31.146,32.053
2015-07-20 12:00:00,31.232,32.144
2015-07-20 13:00:00,31.264,32.233
2015-07-20 14:00:00,31.262,32.228
2015-07-20 15:00:00,31.296,32.288
2015-07-20 16:00:00,31.31,32.266
2015-07-20 17:00:00,31.31,32.252
2015-07-20 18:00:00,31.314,32.264
2015-07-20 19:00:00,31.313,32.241
2015-07-20 20:00:00,31.304,32.14
2015-07-20 21:00:00,31.296,32.157
2015-07-20 22:00:00,31.272,32.13
2015-07-20 23:00:00,31.264,32.178
2015-07-21 00:00:00,31.265,32.146
2015-07-21 01:00:00,31.267,32.16
2015-07-21 02:00:00,31.266,32.174
2015-07-21 03:00:00,31.262,32.185
2015-07-21 04:00:00,31.276,32.214
2015-07-21 05:00:00,31.288,32.204
2015-07-21 06:00:00,31.296,32.219
2015-07-21 07:00:00,31.311,32.217
2015-07-21 08:00:00,31.286,32.251
2015-07-21 09:00:00,31.284,32.228
2015-07-21 10:00:00,31.287,32.244
2015-07-21 11:00:00,31.292,32.28
2015-07-21 12:00:00,31.296,32.351
2015-07-21 13:00:00,31.288,32.333
2015-07-21 14:00:00,31.281,32.338
2015-07-21 15:00:00,31.274,32.308
2015-07-21 16:00:00,31.27,32.27
2015-07-21 17:00:00,31.272,32.302
2015-07-21 18:00:00,31.276,32.35
2015-07-21 19:00:00,31.265,32.312
2015-07-21 20:00:00,31.266,32.346
2015-07-21 21:00:00,31.238,32.35
2015-07-21 22:00:00,31.216,32.352
2015-07-21 23:00:00,31.209,32.351
2015-07-22 00:00:00,31.255,32.352
2015-07-22 01:00:00,31.209,32.35
2015-07-22 02:00:00,31.178,32.35
2015-07-22 03:00:00,31.18,32.351
2015-07-22 04:00:00,31.216,32.35
2015-07-22 05:00:00,31.241,32.348
2015-07-22 06:00:00,31.273,32.343
2015-07-22 07:00:00,31.288,32.352
2015-07-22 08:00:00,31.284,32.354
2015-07-22 09:00:00,31.294,32.353
2015-07-22 10:00:00,31.31,32.353
2015-07-22 11:00:00,31.318,32.357
2015-07-22 12:00:00,31.309,32.36
2015-07-22 13:00:00,31.284,32.357
2015-07-22 14:00:00,31.226,32.353
2015-07-22 15:00:00,31.217,32.352
2015-07-22 16:00:00,31.207,32.352
2015-07-22 17:00:00,31.204,32.352
2015-07-22 18:00:00,31.198,32.354
2015-07-22 19:00:00,31.191,32.358
2015-07-22 20:00:00,31.18,32.368
2015-07-22 21:00:00,31.154,32.374
2015-07-22 22:00:00,31.139,32.351
2015-07-22 23:00:00,31.097,32.355
2015-07-23 00:00:00,31.088,32.345
2015-07-23 01:00:00,31.09,32.362
2015-07-23 02:00:00,31.095,32.36
2015-07-23 03:00:00,31.109,32.372
2015-07-23 04:00:00,31.119,32.377
2015-07-23 05:00:00,31.126,32.376
2015-07-23 06:00:00,31.132,32.381
2015-07-23 07:00:00,31.141,32.386
2015-07-23 08:00:00,31.141,32.375
2015-07-23 09:00:00,31.16,32.377
2015-07-23 10:00:00,31.197,32.372
2015-07-23 11:00:00,31.248,32.318
2015-07-23 12:00:00,31.28,32.289
2015-07-23 13:00:00,31.299,32.249
2015-07-23 14:00:00,31.324,32.324
2015-07-23 15:00:00,31.335,32.369
2015-07-23 16:00:00,31.349,32.357
2015-07-23 17:00:00,31.353,32.386
2015-07-23 18:00:00,31.349,32.354
2015-07-23 19:00:00,31.352,32.357
2015-07-23 20:00:00,31.381,32.364
2015-07-23 21:00:00,31.382,32.354
2015-07-23 22:00:00,31.343,32.35
2015-07-23 23:00:00,31.335,32.342
2015-07-24 00:00:00,31.346,32.343
2015-07-24 01:00:00,31.352,32.356
2015-07-24 02:00:00,31.355,32.355
2015-07-24 03:00:00,31.356,32.359
2015-07-24 04:00:00,31.358,32.355
2015-07-24 05:00:00,31.363,32.356
2015-07-24 06:00:00,31.369,32.354
2015-07-24 07:00:00,31.372,32.37
2015-07-24 08:00:00,31.373,32.352
2015-07-24 09:00:00,31.387,32.366
2015-07-24 10:00:00,31.384,32.379
2015-07-24 11:00:00,31.366,32.379
2015-07-24 12:00:00,31.375,32.375
2015-07-24 13:00:00,31.381,32.369
