time,24kum2a_an9_0005m,24kum2a_an9_0029m
2024-05-22 06:00:00,359.77,371.557
2024-05-22 07:00:00,359.358,371.545
2024-05-22 08:00:00,358.979,370.779
2024-05-22 09:00:00,358.224,370.009
2024-05-22 10:00:00,357.461,369.631
2024-05-22 11:00:00,357.463,369.25
2024-05-22 12:00:00,357.081,368.864
2024-05-22 13:00:00,357.07,369.239
2024-05-22 14:00:00,357.432,369.616
2024-05-22 15:00:00,358.185,369.6
2024-05-22 16:00:00,358.94,370.354
2024-05-22 17:00:00,358.937,370.737
2024-05-22 18:00:00,358.936,370.738
2024-05-22 19:00:00,359.338,370.738
2024-05-22 20:00:00,358.962,370.761
2024-05-22 21:00:00,358.992,370.003
2024-05-22 22:00:00,358.618,369.243
2024-05-22 23:00:00,359.062,369.256
2024-05-23 00:00:00,359.892,369.304
2024-05-23 01:00:00,358.76,369.344
2024-05-23 02:00:00,357.62,368.929
2024-05-23 03:00:00,357.209,368.931
2024-05-23 04:00:00,357.602,369.308
2024-05-23 05:00:00,359.105,369.705
2024-05-23 06:00:00,360.636,370.486
2024-05-23 07:00:00,358.661,369.692
2024-05-23 08:00:00,357.493,369.281
2024-05-23 09:00:00,357.117,368.53
2024-05-23 10:00:00,357.115,368.532
2024-05-23 11:00:00,356.743,368.528
2024-05-23 12:00:00,356.359,368.141
2024-05-23 13:00:00,356.364,368.145
2024-05-23 14:00:00,356.351,368.145
2024-05-23 15:00:00,356.366,368.137
2024-05-23 16:00:00,356.351,368.123
2024-05-23 17:00:00,356.332,368.495
2024-05-23 18:00:00,357.073,368.487
2024-05-23 19:00:00,357.061,368.479
2024-05-23 20:00:00,356.68,368.094
2024-05-23 21:00:00,356.328,367.727
2024-05-23 22:00:00,357.153,368.166
2024-05-23 23:00:00,356.405,367.807
2024-05-24 00:00:00,355.643,367.043
2024-05-24 01:00:00,355.28,366.656
2024-05-24 02:00:00,355.252,366.276
2024-05-24 03:00:00,355.245,366.262
2024-05-24 04:00:00,355.243,366.263
2024-05-24 05:00:00,355.63,367.032
2024-05-24 06:00:00,356.398,367.41
2024-05-24 07:00:00,356.795,367.434
2024-05-24 08:00:00,356.403,368.187
2024-05-24 09:00:00,355.978,367.785
2024-05-24 10:00:00,355.229,367.011
2024-05-24 11:00:00,355.23,366.645
2024-05-24 12:00:00,354.845,366.644
2024-05-24 13:00:00,354.845,366.643
2024-05-24 14:00:00,354.461,366.637
2024-05-24 15:00:00,354.457,366.243
2024-05-24 16:00:00,354.438,366.602
2024-05-24 17:00:00,354.804,366.567
2024-05-24 18:00:00,354.787,365.792
2024-05-24 19:00:00,354.382,365.012
2024-05-24 20:00:00,354.008,365.022
2024-05-24 21:00:00,354.405,365.036
2024-05-24 22:00:00,354.443,365.068
2024-05-24 23:00:00,354.872,364.713
2024-05-25 00:00:00,355.696,365.505
2024-05-25 01:00:00,356.488,365.917
2024-05-25 02:00:00,356.551,365.949
2024-05-25 03:00:00,356.151,365.962
2024-05-25 04:00:00,356.562,365.974
2024-05-25 05:00:00,356.541,366.366
2024-05-25 06:00:00,356.524,366.736
2024-05-25 07:00:00,354.919,365.96
2024-05-25 08:00:00,354.135,365.547
2024-05-25 09:00:00,354.123,365.53
2024-05-25 10:00:00,354.112,365.508
2024-05-25 11:00:00,354.113,365.892
2024-05-25 12:00:00,354.508,365.888
2024-05-25 13:00:00,354.126,365.884
2024-05-25 14:00:00,353.745,365.503
2024-05-25 15:00:00,353.352,365.131
2024-05-25 16:00:00,352.584,364.354
2024-05-25 17:00:00,352.181,363.556
2024-05-25 18:00:00,351.794,363.147
2024-05-25 19:00:00,351.798,362.763
2024-05-25 20:00:00,351.79,362.753
2024-05-25 21:00:00,351.006,362.374
2024-05-25 22:00:00,351.439,362.003
2024-05-25 23:00:00,353.042,363.192
2024-05-26 00:00:00,353.874,364.02
2024-05-26 01:00:00,354.681,364.835
2024-05-26 02:00:00,355.418,366.005
2024-05-26 03:00:00,355.815,366.39
2024-05-26 04:00:00,355.441,366.39
2024-05-26 05:00:00,355.44,366.768
2024-05-26 06:00:00,355.024,366.386
2024-05-26 07:00:00,355.004,366.397
2024-05-26 08:00:00,353.842,364.865
2024-05-26 09:00:00,352.325,363.708
2024-05-26 10:00:00,351.545,362.946
2024-05-26 11:00:00,351.511,362.928
2024-05-26 12:00:00,351.11,362.139
2024-05-26 13:00:00,350.349,361.364
2024-05-26 14:00:00,349.583,360.599
2024-05-26 15:00:00,349.581,361.365
2024-05-26 16:00:00,350.351,361.363
2024-05-26 17:00:00,349.569,360.983
2024-05-26 18:00:00,349.187,360.585
2024-05-26 19:00:00,349.175,360.206
2024-05-26 20:00:00,349.174,360.192
2024-05-26 21:00:00,349.561,360.571
2024-05-26 22:00:00,349.956,360.97
2024-05-26 23:00:00,350.756,361.372
2024-05-27 00:00:00,351.923,362.554
2024-05-27 01:00:00,352.347,363.339
2024-05-27 02:00:00,352.802,363.357
2024-05-27 03:00:00,353.227,363.397
2024-05-27 04:00:00,353.629,363.795
2024-05-27 05:00:00,353.257,363.804
2024-05-27 06:00:00,353.224,363.421
2024-05-27 07:00:00,352.832,363.4
2024-05-27 08:00:00,352.799,362.999
2024-05-27 09:00:00,352.016,362.61
2024-05-27 10:00:00,351.238,362.255
2024-05-27 11:00:00,350.091,361.5
2024-05-27 12:00:00,349.682,360.718
