time,24kum2a_s37_0002m,24kum2a_s37_0030m
2024-05-22 06:00:00,31.314,31.323
2024-05-22 07:00:00,31.321,31.331
2024-05-22 08:00:00,31.317,31.328
2024-05-22 09:00:00,31.313,31.324
2024-05-22 10:00:00,31.312,31.322
2024-05-22 11:00:00,31.31,31.321
2024-05-22 12:00:00,31.31,31.321
2024-05-22 13:00:00,31.315,31.326
2024-05-22 14:00:00,31.325,31.335
2024-05-22 15:00:00,31.335,31.346
2024-05-22 16:00:00,31.339,31.35
2024-05-22 17:00:00,31.34,31.351
2024-05-22 18:00:00,31.339,31.349
2024-05-22 19:00:00,31.331,31.342
2024-05-22 20:00:00,31.323,31.335
2024-05-22 21:00:00,31.323,31.332
2024-05-22 22:00:00,31.317,31.326
2024-05-22 23:00:00,31.276,31.305
2024-05-23 00:00:00,31.261,31.28
2024-05-23 01:00:00,31.258,31.278
2024-05-23 02:00:00,31.268,31.288
2024-05-23 03:00:00,31.275,31.293
2024-05-23 04:00:00,31.275,31.292
2024-05-23 05:00:00,31.273,31.284
2024-05-23 06:00:00,31.28,31.289
2024-05-23 07:00:00,31.299,31.306
2024-05-23 08:00:00,31.311,31.321
2024-05-23 09:00:00,31.308,31.32
2024-05-23 10:00:00,31.309,31.32
2024-05-23 11:00:00,31.31,31.321
2024-05-23 12:00:00,31.31,31.321
2024-05-23 13:00:00,31.307,31.32
2024-05-23 14:00:00,31.303,31.321
2024-05-23 15:00:00,31.302,31.324
2024-05-23 16:00:00,31.309,31.329
2024-05-23 17:00:00,31.317,31.334
2024-05-23 18:00:00,31.325,31.336
2024-05-23 19:00:00,31.328,31.338
2024-05-23 20:00:00,31.326,31.337
2024-05-23 21:00:00,31.306,31.32
2024-05-23 22:00:00,31.281,31.292
2024-05-23 23:00:00,31.277,31.286
2024-05-24 00:00:00,31.282,31.292
2024-05-24 01:00:00,31.286,31.298
2024-05-24 02:00:00,31.294,31.302
2024-05-24 03:00:00,31.296,31.307
2024-05-24 04:00:00,31.295,31.305
2024-05-24 05:00:00,31.294,31.306
2024-05-24 06:00:00,31.287,31.3
2024-05-24 07:00:00,31.279,31.291
2024-05-24 08:00:00,31.294,31.306
2024-05-24 09:00:00,31.306,31.314
2024-05-24 10:00:00,31.306,31.319
2024-05-24 11:00:00,31.306,31.318
2024-05-24 12:00:00,31.306,31.318
2024-05-24 13:00:00,31.306,31.318
2024-05-24 14:00:00,31.307,31.321
2024-05-24 15:00:00,31.309,31.325
2024-05-24 16:00:00,31.318,31.337
2024-05-24 17:00:00,31.332,31.347
2024-05-24 18:00:00,31.342,31.354
2024-05-24 19:00:00,31.346,31.356
2024-05-24 20:00:00,31.339,31.351
2024-05-24 21:00:00,31.328,31.341
2024-05-24 22:00:00,31.315,31.328
2024-05-24 23:00:00,31.29,31.311
2024-05-25 00:00:00,31.275,31.299
2024-05-25 01:00:00,31.262,31.291
2024-05-25 02:00:00,31.235,31.278
2024-05-25 03:00:00,31.234,31.267
2024-05-25 04:00:00,31.233,31.261
2024-05-25 05:00:00,31.241,31.264
2024-05-25 06:00:00,31.261,31.273
2024-05-25 07:00:00,31.277,31.284
2024-05-25 08:00:00,31.287,31.294
2024-05-25 09:00:00,31.297,31.307
2024-05-25 10:00:00,31.299,31.312
2024-05-25 11:00:00,31.297,31.312
2024-05-25 12:00:00,31.293,31.313
2024-05-25 13:00:00,31.288,31.314
2024-05-25 14:00:00,31.287,31.313
2024-05-25 15:00:00,31.291,31.315
2024-05-25 16:00:00,31.297,31.318
2024-05-25 17:00:00,31.302,31.329
2024-05-25 18:00:00,31.303,31.338
2024-05-25 19:00:00,31.317,31.342
2024-05-25 20:00:00,31.33,31.346
2024-05-25 21:00:00,31.326,31.349
2024-05-25 22:00:00,31.3,31.339
2024-05-25 23:00:00,31.272,31.315
2024-05-26 00:00:00,31.248,31.289
2024-05-26 01:00:00,31.238,31.269
2024-05-26 02:00:00,31.256,31.274
2024-05-26 03:00:00,31.253,31.277
2024-05-26 04:00:00,31.251,31.277
2024-05-26 05:00:00,31.254,31.281
2024-05-26 06:00:00,31.264,31.285
2024-05-26 07:00:00,31.269,31.283
2024-05-26 08:00:00,31.258,31.274
2024-05-26 09:00:00,31.249,31.27
2024-05-26 10:00:00,31.262,31.274
2024-05-26 11:00:00,31.274,31.285
2024-05-26 12:00:00,31.284,31.295
2024-05-26 13:00:00,31.285,31.296
2024-05-26 14:00:00,31.284,31.295
2024-05-26 15:00:00,31.284,31.295
2024-05-26 16:00:00,31.277,31.289
2024-05-26 17:00:00,31.279,31.29
2024-05-26 18:00:00,31.284,31.295
2024-05-26 19:00:00,31.288,31.298
2024-05-26 20:00:00,31.294,31.304
2024-05-26 21:00:00,31.292,31.305
2024-05-26 22:00:00,31.284,31.298
2024-05-26 23:00:00,31.282,31.293
2024-05-27 00:00:00,31.281,31.295
2024-05-27 01:00:00,31.272,31.287
2024-05-27 02:00:00,31.246,31.274
2024-05-27 03:00:00,31.23,31.26
2024-05-27 04:00:00,31.221,31.251
2024-05-27 05:00:00,31.223,31.25
2024-05-27 06:00:00,31.23,31.256
2024-05-27 07:00:00,31.24,31.265
2024-05-27 08:00:00,31.252,31.276
2024-05-27 09:00:00,31.26,31.28
2024-05-27 10:00:00,31.247,31.266
2024-05-27 11:00:00,31.239,31.253
2024-05-27 12:00:00,31.251,31.262
2024-05-27 13:00:00,31.264,31.275
2024-05-27 14:00:00,31.268,31.28
2024-05-27 15:00:00,31.266,31.279
2024-05-27 16:00:00,31.259,31.274
2024-05-27 17:00:00,31.25,31.266
2024-05-27 18:00:00,31.25,31.269
