time,24bspr2a_met_telos,24bspr2a_rcmsg_0052m,24bspr2a_s16_0001m,24bspr2a_s37_0053m
2024-05-20 13:00:00,3.4,2.018,2.823,2.034
2024-05-20 14:00:00,3.32,2.053,2.757,2.073
2024-05-20 15:00:00,3.21,2.08,2.791,2.099
2024-05-20 16:00:00,3.29,2.085,2.695,2.109
2024-05-20 17:00:00,3.18,2.085,2.656,2.11
2024-05-20 18:00:00,3.21,2.075,2.664,2.104
2024-05-20 19:00:00,3.22,2.038,2.7,2.068
2024-05-20 20:00:00,3.31,2.011,2.759,2.034
2024-05-20 21:00:00,3.4,1.974,2.717,2.004
2024-05-20 22:00:00,3.58,1.974,2.746,2.0
2024-05-20 23:00:00,3.65,1.954,2.837,1.982
2024-05-21 00:00:00,3.6,1.934,2.809,1.958
2024-05-21 01:00:00,3.75,1.933,2.789,1.958
2024-05-21 02:00:00,3.45,1.937,2.738,1.961
2024-05-21 03:00:00,3.42,1.939,2.697,1.962
2024-05-21 04:00:00,3.39,1.954,2.695,1.979
2024-05-21 05:00:00,3.36,1.996,2.723,1.986
2024-05-21 06:00:00,3.2,2.066,2.737,2.085
2024-05-21 07:00:00,3.3,2.076,2.722,2.101
2024-05-21 08:00:00,3.28,2.069,2.712,2.094
2024-05-21 09:00:00,3.19,2.068,2.707,2.087
2024-05-21 10:00:00,3.13,2.065,2.701,2.089
2024-05-21 11:00:00,3.18,2.069,2.701,2.094
2024-05-21 12:00:00,3.17,2.083,2.705,2.104
2024-05-21 13:00:00,3.12,2.103,2.715,2.126
2024-05-21 14:00:00,3.13,2.141,2.744,2.163
2024-05-21 15:00:00,3.2,2.148,2.761,2.175
2024-05-21 16:00:00,3.25,2.149,2.749,2.176
2024-05-21 17:00:00,3.31,2.148,2.745,2.175
2024-05-21 18:00:00,3.38,2.15,2.743,2.176
2024-05-21 19:00:00,3.47,2.141,2.753,2.173
2024-05-21 20:00:00,3.63,2.092,2.752,2.121
2024-05-21 21:00:00,2.95,2.002,2.727,2.06
2024-05-21 22:00:00,3.57,1.945,2.732,1.972
2024-05-21 23:00:00,3.65,1.941,2.7,1.964
2024-05-22 00:00:00,3.525,1.934,2.698,1.959
2024-05-22 01:00:00,3.4,1.937,2.711,1.96
2024-05-22 02:00:00,3.56,1.944,2.71,1.963
2024-05-22 03:00:00,3.32,1.938,2.718,1.965
2024-05-22 04:00:00,3.35,1.936,2.712,1.959
2024-05-22 05:00:00,3.34,2.015,2.717,2.002
2024-05-22 06:00:00,3.08,2.128,2.724,2.148
2024-05-22 07:00:00,3.35,2.141,2.71,2.165
2024-05-22 08:00:00,3.4,2.148,2.722,2.174
2024-05-22 09:00:00,3.32,2.151,2.722,2.176
2024-05-22 10:00:00,3.3,2.152,2.719,2.177
2024-05-22 11:00:00,3.275,2.156,2.705,2.179
2024-05-22 12:00:00,3.25,2.154,2.704,2.182
2024-05-22 13:00:00,3.23,2.156,2.695,2.184
2024-05-22 14:00:00,3.03,2.16,2.689,2.185
2024-05-22 15:00:00,3.17,2.164,2.69,2.187
2024-05-22 16:00:00,2.74,2.16,2.691,2.187
2024-05-22 17:00:00,2.55,2.16,2.687,2.188
2024-05-22 18:00:00,2.81,2.164,2.684,2.19
2024-05-22 19:00:00,2.79,2.162,2.686,2.19
2024-05-22 20:00:00,2.88,2.157,2.676,2.186
2024-05-22 21:00:00,3.05,2.142,2.656,2.173
2024-05-22 22:00:00,3.05,2.11,2.683,2.142
2024-05-22 23:00:00,3.03,2.033,2.691,2.048
2024-05-23 00:00:00,3.03,2.04,2.664,2.074
2024-05-23 01:00:00,2.92,2.082,2.651,2.093
2024-05-23 02:00:00,3.17,2.082,2.652,2.102
2024-05-23 03:00:00,3.0,2.088,2.681,2.114
2024-05-23 04:00:00,3.27,2.104,2.7,2.124
2024-05-23 05:00:00,2.98,2.124,2.711,2.146
2024-05-23 06:00:00,3.13,2.144,2.711,2.166
2024-05-23 07:00:00,2.99,2.161,2.7,2.182
2024-05-23 08:00:00,2.71,2.156,2.699,2.184
2024-05-23 09:00:00,2.81,2.154,2.708,2.184
2024-05-23 10:00:00,2.88,2.149,2.711,2.178
2024-05-23 11:00:00,2.92,2.148,2.712,2.174
2024-05-23 12:00:00,2.76,2.151,2.712,2.176
2024-05-23 13:00:00,2.87,2.158,2.711,2.182
2024-05-23 14:00:00,2.98,2.17,2.71,2.19
2024-05-23 15:00:00,3.09,2.176,2.712,2.2
2024-05-23 16:00:00,,2.177,2.715,2.202
2024-05-23 17:00:00,,2.177,2.72,2.203
2024-05-23 18:00:00,3.42,2.178,2.722,2.202
2024-05-23 19:00:00,3.53,2.172,2.721,2.199
2024-05-23 20:00:00,3.76,2.16,2.727,2.189
2024-05-23 21:00:00,3.91,2.118,2.731,2.158
2024-05-23 22:00:00,3.67,2.025,2.748,2.066
2024-05-23 23:00:00,3.53,1.972,2.758,1.99
2024-05-24 00:00:00,3.73,1.984,2.725,2.003
2024-05-24 01:00:00,3.77,1.984,2.701,2.003
2024-05-24 02:00:00,3.76,2.007,2.709,2.031
2024-05-24 03:00:00,3.69,2.035,2.726,2.039
2024-05-24 04:00:00,3.73,2.045,2.747,2.06
2024-05-24 05:00:00,3.61,2.08,2.766,2.095
2024-05-24 06:00:00,3.615,2.09,2.768,2.108
2024-05-24 07:00:00,3.62,2.112,2.775,2.133
2024-05-24 08:00:00,3.62,2.127,2.777,2.141
2024-05-24 09:00:00,3.52,2.138,2.776,2.166
2024-05-24 10:00:00,3.51,2.138,2.777,2.16
2024-05-24 11:00:00,3.57,2.138,2.778,2.163
2024-05-24 12:00:00,3.52,2.142,2.779,2.169
2024-05-24 13:00:00,3.53,2.149,2.778,2.172
2024-05-24 14:00:00,3.54,2.154,2.775,2.178
2024-05-24 15:00:00,3.42,2.162,2.771,2.187
2024-05-24 16:00:00,3.41,2.17,2.767,2.194
2024-05-24 17:00:00,3.33,2.176,2.767,2.2
2024-05-24 18:00:00,3.35,2.177,2.769,2.202
2024-05-24 19:00:00,3.38,2.178,2.764,2.203
2024-05-24 20:00:00,3.42,2.175,2.761,2.199
2024-05-24 21:00:00,3.4,2.146,2.762,2.178
2024-05-24 22:00:00,3.26,2.104,2.763,2.139
2024-05-24 23:00:00,3.29,2.046,2.76,2.081
2024-05-25 00:00:00,3.33,2.042,2.733,2.063
2024-05-25 01:00:00,3.14,2.04,2.642,2.064
2024-05-25 02:00:00,3.16,2.052,2.652,2.068
2024-05-25 03:00:00,3.07,2.072,2.663,2.096
2024-05-25 04:00:00,2.91,2.082,2.719,2.103
2024-05-25 05:00:00,2.64,2.088,2.75,2.112
2024-05-25 06:00:00,2.45,2.104,2.764,2.123
2024-05-25 07:00:00,2.18,2.128,2.764,2.15
2024-05-25 08:00:00,2.14,2.16,2.763,2.178
2024-05-25 09:00:00,2.15,2.17,2.763,2.195
2024-05-25 10:00:00,2.03,2.17,2.756,2.19
2024-05-25 11:00:00,2.1,2.168,2.75,2.193
2024-05-25 12:00:00,2.15,2.17,2.749,2.196
2024-05-25 13:00:00,2.2,2.174,2.748,2.201
2024-05-25 14:00:00,2.08,2.183,2.746,2.206
2024-05-25 15:00:00,2.2,2.186,2.74,2.212
2024-05-25 16:00:00,2.12,2.193,2.739,2.214
2024-05-25 17:00:00,2.17,2.192,2.739,2.217
2024-05-25 18:00:00,2.22,2.194,2.74,2.217
2024-05-25 19:00:00,2.24,2.195,2.743,2.219
2024-05-25 20:00:00,2.32,2.2,2.758,2.225
2024-05-25 21:00:00,2.35,2.2,2.771,2.23
2024-05-25 22:00:00,2.34,2.178,2.768,2.21
2024-05-25 23:00:00,2.25,2.134,2.74,2.168
2024-05-26 00:00:00,1.86,2.094,2.673,2.132
2024-05-26 01:00:00,2.03,2.054,2.7,2.09
2024-05-26 02:00:00,2.16,2.021,2.755,2.042
2024-05-26 03:00:00,2.05,2.009,2.773,2.033
2024-05-26 04:00:00,1.94,2.01,2.778,2.029
2024-05-26 05:00:00,1.83,2.006,2.758,2.037
2024-05-26 06:00:00,1.41,2.036,2.734,2.048
2024-05-26 07:00:00,1.21,2.089,2.703,2.096
2024-05-26 08:00:00,1.35,2.129,2.69,2.141
2024-05-26 09:00:00,1.47,2.181,2.698,2.187
2024-05-26 10:00:00,1.28,2.2,2.697,2.224
2024-05-26 11:00:00,1.07,2.2,2.695,2.226
2024-05-26 12:00:00,0.62,2.198,2.687,2.222
2024-05-26 13:00:00,0.53,2.204,2.68,2.222
2024-05-26 14:00:00,0.41,2.22,2.67,2.238
2024-05-26 15:00:00,0.58,2.252,2.654,2.283
2024-05-26 16:00:00,0.4,2.248,2.65,2.262
2024-05-26 17:00:00,0.5,2.304,2.65,2.267
2024-05-26 18:00:00,0.43,2.268,2.644,2.272
2024-05-26 19:00:00,0.53,2.293,2.641,2.252
2024-05-26 20:00:00,0.46,2.281,2.637,2.291
2024-05-26 21:00:00,0.71,2.327,2.637,2.486
2024-05-26 22:00:00,0.99,2.302,2.626,2.391
2024-05-26 23:00:00,0.78,2.335,2.635,2.253
2024-05-27 00:00:00,0.95,2.197,2.67,2.249
2024-05-27 01:00:00,1.03,2.13,2.745,2.14
2024-05-27 02:00:00,0.95,2.247,2.817,2.159
2024-05-27 03:00:00,0.8,2.514,2.849,2.183
2024-05-27 04:00:00,0.95,2.066,2.846,2.084
2024-05-27 05:00:00,0.83,2.136,2.829,2.148
2024-05-27 06:00:00,0.56,2.302,2.803,2.097
2024-05-27 07:00:00,0.67,2.241,2.756,2.166
2024-05-27 08:00:00,0.69,2.258,2.707,2.241
2024-05-27 09:00:00,0.49,2.27,2.659,2.268
2024-05-27 10:00:00,0.19,2.275,2.632,2.266
2024-05-27 11:00:00,0.15,2.297,2.621,2.34
2024-05-27 12:00:00,-0.15,2.381,2.624,2.333
2024-05-27 13:00:00,0.07,2.367,2.624,2.336
2024-05-27 14:00:00,0.07,2.292,2.622,2.302
2024-05-27 15:00:00,-0.39,2.334,2.619,2.384
2024-05-27 16:00:00,-0.13,2.335,2.616,2.325
2024-05-27 17:00:00,-0.11,2.356,2.622,2.338
2024-05-27 18:00:00,-0.22,2.346,2.641,2.329
2024-05-27 19:00:00,-0.19,2.338,2.675,2.336
2024-05-27 20:00:00,0.03,2.351,2.73,2.348
2024-05-27 21:00:00,-0.07,2.314,2.813,2.319
2024-05-27 22:00:00,0.41,2.323,2.922,2.34
2024-05-27 23:00:00,0.65,2.302,3.05,2.312
2024-05-28 00:00:00,0.83,2.276,3.1,2.303
2024-05-28 01:00:00,0.905,2.208,3.274,2.237
2024-05-28 02:00:00,0.98,2.122,3.456,2.155
2024-05-28 03:00:00,1.04,2.108,3.483,2.13
2024-05-28 04:00:00,1.06,2.11,3.265,2.116
2024-05-28 05:00:00,1.28,2.096,3.187,2.116
2024-05-28 06:00:00,1.2,2.085,3.344,2.112
2024-05-28 07:00:00,1.55,2.103,3.114,2.123
2024-05-28 08:00:00,1.6,2.144,2.98,2.155
2024-05-28 09:00:00,1.7,2.21,2.856,2.216
2024-05-28 10:00:00,1.67,2.259,2.8,2.277
2024-05-28 11:00:00,1.95,2.283,2.767,2.307
2024-05-28 12:00:00,2.03,2.29,2.74,2.31
2024-05-28 13:00:00,2.37,2.306,2.727,2.334
2024-05-28 14:00:00,2.81,2.306,2.723,2.336
2024-05-28 15:00:00,2.96,2.308,2.725,2.319
2024-05-28 16:00:00,3.06,2.3,2.724,2.322
2024-05-28 17:00:00,2.99,2.316,2.717,2.33
2024-05-28 18:00:00,3.18,2.318,2.722,2.328
2024-05-28 19:00:00,3.37,2.317,2.733,2.343
2024-05-28 20:00:00,3.45,2.332,2.745,2.348
2024-05-28 21:00:00,3.61,2.332,2.761,2.352
2024-05-28 22:00:00,3.85,2.328,2.795,2.345
2024-05-28 23:00:00,3.7,2.31,2.787,2.333
2024-05-29 00:00:00,3.605,2.29,2.797,2.316
2024-05-29 01:00:00,3.51,2.263,2.832,2.302
2024-05-29 02:00:00,3.59,2.16,3.015,2.226
2024-05-29 03:00:00,3.79,2.106,3.115,2.138
2024-05-29 04:00:00,3.62,2.08,3.154,2.113
2024-05-29 05:00:00,3.47,2.058,3.165,2.086
2024-05-29 06:00:00,3.49,2.053,3.107,2.075
2024-05-29 07:00:00,3.38,2.076,3.03,2.09
2024-05-29 08:00:00,3.25,2.112,3.13,2.131
2024-05-29 09:00:00,3.21,2.163,2.972,2.16
2024-05-29 10:00:00,3.13,2.243,2.91,2.251
2024-05-29 11:00:00,3.05,2.289,2.906,2.302
